Team,Penalty,NDate,Opponent,Player,Position,Week,Year,PenaltyIndex,HTeam,VTeam,key,Date,Exp,HPen,HPenYd,LastName,RefPosition,VPen,VPenYd
MIA,Face Mask (15 Yards),12/11/2011,PHI,W.Allen,DB,14.0,2011.0,MIA-2011-64,PHI,MIA,12-11-2011-PHI,,,,,,,,
MIA,Offensive Holding,12/11/2011,PHI,M.Pouncey,C,14.0,2011.0,MIA-2011-65,PHI,MIA,12-11-2011-PHI,,,,,,,,
MIA,Unnecessary Roughness,12/11/2011,PHI,R.Incognito,C,14.0,2011.0,MIA-2011-66,PHI,MIA,12-11-2011-PHI,,,,,,,,
MIA,Offensive Holding,12/11/2011,PHI,M.Pouncey,C,14.0,2011.0,MIA-2011-67,PHI,MIA,12-11-2011-PHI,,,,,,,,
MIA,Face Mask (15 Yards),12/11/2011,PHI,P.Soliai,DT,14.0,2011.0,MIA-2011-68,PHI,MIA,12-11-2011-PHI,,,,,,,,
MIA,Face Mask (15 Yards),12/11/2011,PHI,N.Garner,G,14.0,2011.0,MIA-2011-69,PHI,MIA,12-11-2011-PHI,,,,,,,,
MIA,Offensive Holding,12/11/2011,PHI,N.Garner,G,14.0,2011.0,MIA-2011-70,PHI,MIA,12-11-2011-PHI,,,,,,,,
MIA,Defensive Pass Interference,12/18/2011,BUF,W.Allen,DB,15.0,2011.0,MIA-2011-71,BUF,MIA,12-18-2011-BUF,2011-12-18,248.0,11.0,92.0,Parry,Referee,5.0,62.0
MIA,Personal Foul,12/18/2011,BUF,R.Incognito,C,15.0,2011.0,MIA-2011-72,BUF,MIA,12-18-2011-BUF,2011-12-18,248.0,11.0,92.0,Parry,Referee,5.0,62.0
MIA,Running Into the Kicker,12/18/2011,BUF,M.Mitchell,OLB,15.0,2011.0,MIA-2011-73,BUF,MIA,12-18-2011-BUF,2011-12-18,248.0,11.0,92.0,Parry,Referee,5.0,62.0
MIA,Offensive Holding,12/18/2011,BUF,J.Jerry,G,15.0,2011.0,MIA-2011-74,BUF,MIA,12-18-2011-BUF,2011-12-18,248.0,11.0,92.0,Parry,Referee,5.0,62.0
MIA,Illegal Block Above the Waist,12/18/2011,BUF,R.Incognito,C,15.0,2011.0,MIA-2011-75,BUF,MIA,12-18-2011-BUF,2011-12-18,248.0,11.0,92.0,Parry,Referee,5.0,62.0
MIA,False Start,12/18/2011,BUF,J.Jerry,G,15.0,2011.0,MIA-2011-76,BUF,MIA,12-18-2011-BUF,2011-12-18,248.0,11.0,92.0,Parry,Referee,5.0,62.0
MIA,Unsportsmanlike Conduct,12/18/2011,BUF,R.Bush,RB,15.0,2011.0,MIA-2011-77,BUF,MIA,12-18-2011-BUF,2011-12-18,248.0,11.0,92.0,Parry,Referee,5.0,62.0
MIA,Defensive Holding,12/18/2011,BUF,S.Smith,CB,15.0,2011.0,MIA-2011-78,BUF,MIA,12-18-2011-BUF,2011-12-18,248.0,11.0,92.0,Parry,Referee,5.0,62.0
MIA,Defensive Offside,12/18/2011,BUF,Y.Bell,SS,15.0,2011.0,MIA-2011-79,BUF,MIA,12-18-2011-BUF,2011-12-18,248.0,11.0,92.0,Parry,Referee,5.0,62.0
MIA,False Start,12/24/2011,NE,V.Carey,G,16.0,2011.0,MIA-2011-80,NE,MIA,12-24-2011-NE,2011-12-24,137.0,5.0,50.0,Riveron,Referee,6.0,39.0
MIA,Personal Foul,12/24/2011,NE,J.Mastrud,TE,16.0,2011.0,MIA-2011-81,NE,MIA,12-24-2011-NE,2011-12-24,137.0,5.0,50.0,Riveron,Referee,6.0,39.0
MIA,False Start,12/24/2011,NE,M.Pouncey,C,16.0,2011.0,MIA-2011-82,NE,MIA,12-24-2011-NE,2011-12-24,137.0,5.0,50.0,Riveron,Referee,6.0,39.0
